Company Name,Fail Action,Stem Dia,Yoke Boss,Actuator Size,Effective Area,Travel,Min,Max,Spring Rate
microspline,AFO,0.5,2.8125,6,60,0.75,3,15,960
microspline,AFO,0.5,2.8125,6,60,0.75,6,30,1920
microspline,AFO,0.5,2.8125,6,60,0.75,11,23,960
microspline,AFO,0.5,2.8125,6,60,0.75,21,45,1920
microspline,AFO,0.5,2.8125,10,100,0.75,3,15,1600
microspline,AFO,0.5,2.8125,10,100,0.75,6,30,3200
microspline,AFO,0.5,2.8125,10,100,0.75,11,23,1600
microspline,AFO,0.5,2.8125,10,100,0.75,21,45,3200
microspline,AFO,0.5,2.8125,10,100,1.125,3,15,1067
microspline,AFO,0.5,2.8125,10,100,1.125,6,30,2133
microspline,AFO,0.5,2.8125,10,100,1.125,11,23,1067
microspline,AFO,0.5,2.8125,10,100,1.125,21,45,2133
microspline,AFO,0.75,3.5625,10,100,1.125,3,15,1067
microspline,AFO,0.75,3.5625,10,100,1.125,6,30,2133
microspline,AFO,0.75,3.5625,10,100,1.125,11,23,1067
microspline,AFO,0.75,3.5625,10,100,1.125,21,45,2133
microspline,AFO,0.75,3.5625,10,100,1.5,3,15,800
microspline,AFO,0.75,3.5625,10,100,1.5,6,30,1600
microspline,AFO,0.75,3.5625,10,100,1.5,11,23,800
microspline,AFO,0.75,3.5625,10,100,1.5,21,45,1600
microspline,AFO,0.5,2.8125,16,160,0.75,3,15,2560
microspline,AFO,0.5,2.8125,16,160,0.75,6,30,5120
microspline,AFO,0.5,2.8125,16,160,0.75,11,23,2560
microspline,AFO,0.5,2.8125,16,160,0.75,21,45,5120
microspline,AFO,0.5,2.8125,16,160,1.125,3,15,1707
microspline,AFO,0.5,2.8125,16,160,1.125,6,30,3413
microspline,AFO,0.5,2.8125,16,160,1.125,11,23,1707
microspline,AFO,0.5,2.8125,16,160,1.125,21,45,3413
microspline,AFO,0.75,3.5625,16,160,1.125,3,15,1707
microspline,AFO,0.75,3.5625,16,160,1.125,6,30,3413
microspline,AFO,0.75,3.5625,16,160,1.125,11,23,1707
microspline,AFO,0.75,3.5625,16,160,1.125,21,45,3413
microspline,AFO,0.75,3.5625,16,160,1.5,3,15,1280
microspline,AFO,0.75,3.5625,16,160,1.5,6,30,2560
microspline,AFO,0.75,3.5625,16,160,1.5,11,23,1280
microspline,AFO,0.75,3.5625,16,160,1.5,21,45,2560
microspline,AFO,0.75,3.5625,16,160,2,3,15,960
microspline,AFO,0.75,3.5625,16,160,2,6,30,1920
microspline,AFO,0.75,3.5625,16,160,2,11,23,960
microspline,AFO,0.75,3.5625,16,160,2,21,45,1920
microspline,AFO,0.75,3.5625,16,160,2.5,3,15,768
microspline,AFO,0.75,3.5625,16,160,2.5,6,30,1536
microspline,AFO,0.75,3.5625,16,160,2.5,11,23,768
microspline,AFO,0.75,3.5625,16,160,2.5,21,45,1536
microspline,AFO,0.75,3.5625,23,230,0.75,3,15,3680
microspline,AFO,0.75,3.5625,23,230,0.75,6,30,7360
microspline,AFO,0.75,3.5625,23,230,0.75,11,23,3680
microspline,AFO,0.75,3.5625,23,230,0.75,21,45,7360
microspline,AFO,0.75,3.5625,23,230,1.5,3,15,1840
microspline,AFO,0.75,3.5625,23,230,1.5,6,30,3680
microspline,AFO,0.75,3.5625,23,230,1.5,11,23,1840
microspline,AFO,0.75,3.5625,23,230,1.5,21,45,3680
microspline,AFO,0.75,3.5625,23,230,2,3,15,1380
microspline,AFO,0.75,3.5625,23,230,2,6,30,2760
microspline,AFO,0.75,3.5625,23,230,2,11,23,1380
microspline,AFO,0.75,3.5625,23,230,2,21,45,2760
microspline,AFO,0.75,3.5625,23,230,2.5,3,15,1104
microspline,AFO,0.75,3.5625,23,230,2.5,6,30,2208
microspline,AFO,0.75,3.5625,23,230,2.5,11,23,1104
microspline,AFO,0.75,3.5625,23,230,2.5,21,45,2208
microspline,AFO,0.75,3.5625,23L,230,3,6,24,1380
microspline,AFO,0.75,3.5625,23L,230,3.5,6,27,1380
microspline,AFO,0.75,3.5625,23L,230,4,3,15,690
microspline,AFO,0.75,3.5625,23L,230,4,6,30,1380
microspline,AFO,0.75,3.5625,23L,230,4,11,23,690
microspline,AFO,0.75,3.5625,23L,230,4,23,45,1265
microspline,AFC,0.5,2.8125,6,60,0.75,3,15,960
microspline,AFC,0.5,2.8125,6,60,0.75,6,30,1920
microspline,AFC,0.5,2.8125,6,60,0.75,11,23,960
microspline,AFC,0.5,2.8125,6,60,0.75,21,45,1920
microspline,AFC,0.5,2.8125,10,100,0.75,3,15,1600
microspline,AFC,0.5,2.8125,10,100,0.75,6,30,3200
microspline,AFC,0.5,2.8125,10,100,0.75,11,23,1600
microspline,AFC,0.5,2.8125,10,100,0.75,21,45,3200
microspline,AFC,0.5,2.8125,10,100,1.125,3,15,1067
microspline,AFC,0.5,2.8125,10,100,1.125,6,30,2133
microspline,AFC,0.5,2.8125,10,100,1.125,11,23,1067
microspline,AFC,0.5,2.8125,10,100,1.125,21,45,2133
microspline,AFC,0.75,3.5625,10,100,1.125,3,15,1067
microspline,AFC,0.75,3.5625,10,100,1.125,6,30,2133
microspline,AFC,0.75,3.5625,10,100,1.125,11,23,1067
microspline,AFC,0.75,3.5625,10,100,1.125,21,45,2133
microspline,AFC,0.75,3.5625,10,100,1.5,3,15,800
microspline,AFC,0.75,3.5625,10,100,1.5,6,30,1600
microspline,AFC,0.75,3.5625,10,100,1.5,11,23,800
microspline,AFC,0.75,3.5625,10,100,1.5,21,45,1600
microspline,AFC,0.5,2.8125,16,160,0.75,3,15,2560
microspline,AFC,0.5,2.8125,16,160,0.75,6,30,5120
microspline,AFC,0.5,2.8125,16,160,0.75,11,23,2560
microspline,AFC,0.5,2.8125,16,160,0.75,21,45,5120
microspline,AFC,0.75,3.5625,16,160,0.75,3,15,2560
microspline,AFC,0.75,3.5625,16,160,0.75,6,30,5120
microspline,AFC,0.75,3.5625,16,160,0.75,11,23,2560
microspline,AFC,0.75,3.5625,16,160,0.75,21,45,5120
microspline,AFC,0.5,2.8125,16,160,1.125,3,15,1707
microspline,AFC,0.5,2.8125,16,160,1.125,6,30,3413
microspline,AFC,0.5,2.8125,16,160,1.125,11,23,1707
microspline,AFC,0.5,2.8125,16,160,1.125,21,45,3413
microspline,AFC,0.75,3.5625,16,160,1.125,3,15,1707
microspline,AFC,0.75,3.5625,16,160,1.125,6,30,3413
microspline,AFC,0.75,3.5625,16,160,1.125,11,23,1707
microspline,AFC,0.75,3.5625,16,160,1.125,21,45,3413
microspline,AFC,0.75,3.5625,16,160,1.5,3,15,1280
microspline,AFC,0.75,3.5625,16,160,1.5,6,30,2560
microspline,AFC,0.75,3.5625,16,160,1.5,11,23,1280
microspline,AFC,0.75,3.5625,16,160,1.5,21,45,2560
microspline,AFC,0.75,3.5625,16,160,2,3,15,960
microspline,AFC,0.75,3.5625,16,160,2,6,30,1920
microspline,AFC,0.75,3.5625,16,160,2,11,23,960
microspline,AFC,0.75,3.5625,16,160,2,21,45,1920
microspline,AFC,0.75,3.5625,16,160,2.5,3,15,768
microspline,AFC,0.75,3.5625,16,160,2.5,6,30,1536
microspline,AFC,0.75,3.5625,16,160,2.5,11,23,768
microspline,AFC,0.75,3.5625,16,160,2.5,21,45,1536
microspline,AFC,0.75,3.5625,23,230,0.75,3,15,3680
microspline,AFC,0.75,3.5625,23,230,0.75,6,30,7360
microspline,AFC,0.75,3.5625,23,230,0.75,11,23,3680
microspline,AFC,0.75,3.5625,23,230,0.75,21,45,7360
microspline,AFC,0.75,3.5625,23,230,1.5,3,15,1840
microspline,AFC,0.75,3.5625,23,230,1.5,6,30,3680
microspline,AFC,0.75,3.5625,23,230,1.5,11,23,1840
microspline,AFC,0.75,3.5625,23,230,1.5,21,45,3680
microspline,AFC,0.75,3.5625,23,230,2,3,15,1380
microspline,AFC,0.75,3.5625,23,230,2,6,30,2760
microspline,AFC,0.75,3.5625,23,230,2,11,23,1380
microspline,AFC,0.75,3.5625,23,230,2,21,45,2760
microspline,AFC,0.75,3.5625,23,230,2.5,3,15,1104
microspline,AFC,0.75,3.5625,23,230,2.5,6,30,2208
microspline,AFC,0.75,3.5625,23,230,2.5,11,23,1104
microspline,AFC,0.75,3.5625,23,230,2.5,21,45,2208
microspline,AFC,0.75,3.5625,23L,230,3,12,30,1380
microspline,AFC,0.75,3.5625,23L,230,3,27,45,1380
microspline,AFC,0.75,3.5625,23L,230,3.5,9,30,1380
microspline,AFC,0.75,3.5625,23L,230,3.5,24,45,1380
microspline,AFC,0.75,3.5625,23L,230,4,3,15,690
microspline,AFC,0.75,3.5625,23L,230,4,6,30,1380
microspline,AFC,0.75,3.5625,23L,230,4,11,23,690
microspline,AFC,0.75,3.5625,23L,230,4,21,45,1380
