Rating,Valve Size,Disc Dia,Shaft dia
#150,3,2.8,0.625
#150,4,3.6,0.75
#150,6,5.6,0.75
#150,8,7.5,1
#150,10,9.2,1
#150,12,11.2,1.25
#150,14,12.9,1.5
#150,16,14.9,1.5
#150,18,16.8,1.75
#150,20,18.5,2
#150,24,22.4,2.25
#150,30,28.6,3
#150,36,33.3,3.5
#300,3,2.8,0.625
#300,4,3.6,0.75
#300,6,5.6,1
#300,8,7.5,1.25
#300,10,9.2,1.25
#300,12,11.2,1.5
#300,14,12.9,2
#300,16,14.9,2
#300,18,16.8,2.25
#300,20,18.5,2.75
#300,24,22.4,3
#300,30,28.6,3.5
#600,3,2.8,0.625
#600,4,3.6,0.75
#600,6,5.6,1
#600,8,7.5,1.25
#600,10,9.2,1.75
#600,12,11.2,2
#600,14,12.9,2.25
#600,16,14.9,2.5
#600,18,16.8,2.75
#600,20,18.5,3
#600,24,22.4,3.25
#600,30,28.6,3.5
