Stem Dia,Rating,1,2,r,graphite
0.375,150,38,56,63,125
0.375,300,38,56,95,190
0.375,600,38,56,125,250
0.375,900,38,56,160,320
0.375,1500,38,56,190,380
0.5,150,50,75,90,180
0.5,300,50,75,115,230
0.5,600,50,75,160,320
0.5,900,50,75,205,410
0.5,1500,50,75,250,500
0.5,2500,50,75,295,590
0.625,150,63,95,109,218
0.625,300,63,95,145,290
0.625,600,63,95,200,400
0.75,150,75,112.5,175,350
0.75,300,75,112.5,220,440
0.75,600,75,112.5,330,660
0.75,900,75,112.5,440,880
0.75,1500,75,112.5,550,1100
0.75,2500,75,112.5,660,1320
1,300,100,150,305,610
1,600,100,150,425,850
1,900,100,150,530,1060
1,1500,100,150,650,1300
1,2500,100,150,770,1540
1.25,300,120,180,400,800
1.25,600,120,180,550,1100
1.25,900,120,180,700,1400
1.25,1500,120,180,850,1700
1.25,2500,120,180,1020,2040
2,300,200,300,613,1225
2,600,200,300,862.5,1725
2,900,200,300,1125,2250
2,1500,200,300,1375,2750
2,2500,200,300,1623,3245
